Team,Elo Rating
Salt City Roller Derby,694
Rockford Rage Women's Roller Derby,682
Minnesota Roller Derby,781
Flint Roller Derby,718
Dallas Derby Devils / Army of Darkness,706
Black Rose Rollers / All-Stars,700
Twister City Roller Derby / Victory All Star Squad,671
Columbia Roller Derby / QuadSquad,745
Victorian Roller Derby League / Thunder Bees,697
State College Area Roller Derby  / SCAR Derby ,702
South Shore Roller Derby / Runaways,729
Rocky Mountain Roller Derby / 5280 Fight Club,676
Peninsula Roller Derby  / Supernovas A,685
Ohio Valley Roller Derby,688
Mass Attack Roller Derby / All Stars,723
Hard Knox Roller Derby A,668
Grand Raggidy Roller Derby / All Stars,714
Grand Raggidy Roller Derby / Grand Raggidy All Stars,711
Fort Myers Roller Derby,718
East Vic Roller Derby,690
East Vic Roller Derby / Witches Of East Vic,690
Bay Area Derby  / Bay Area Derby All Stars ,714
Arch Rival Roller Derby / All Stars,770
Ventura County Derby Darlins / Vendolls,706
Twin State Roller Derby / Upper Valley Vixons,715
Sacramento Roller Derby B  / Bruin Trouble,679
Red Stick / Capital Defenders ,679
Red Stick Roller Derby / Red Stick Roller Derby All Stars,697
Peninsula Roller Derby  / Supernovas B ,721
Gem City Roller Derby / Violet Femmes,664
Central Coast Roller Derby / SK805,715
Boston Roller Derby / Boston Roller Derby: A Team,647
Black-n-Bluegrass Roller Girls,704
Bay Area Derby / Bay Area Derby All Stars ,688
Arch Rival Roller Derby / Arch Nemesis,721
Angel City Derby  / Angel City Derby - RAD TEAM ,729
Angel City Derby / Angel City Derby - RAD TEAM,709
Victorian Roller Derby League / Thunder,677
Glasgow Roller Derby / Irn Bruisers,713
Capital City Crushers,711
Tampa Roller Derby / Tampa Tantrums,695
South Bend Roller Derby / Studebreakers,705
Philly Roller Derby,659
Renegade Derby Dames / Striking Vikings,670
FREDERICKSBURG ROLLER DERBY / FREDERICKSBURG ROLLER DERBY ALL STARS,701
Erie Roller Derby,729
Connecticut Roller Derby / All Stars,720
Chattanooga Roller Derby / B-Railers,706
Chattanooga Roller Derby / Chattanooga All Stars,705
Ann Arbor Roller Derby,626
