Team,Elo Rating
Windy City Roller Derby / Windy City All Stars,722
Vicenza Roller Derby / The Anguanas,689
Downriver Roller Dolls / Downriver Roller Dolls (Doll Stars),684
Manchester Roller Derby / Valkiries,685
Cornfed Roller Derby / Cornfed All- Stars,695
Vicenza Roller Derby  / The Anguanas,681
BrewCity Bruisers / BrewCity Bruisers All-Stars,709
Hard Breaking Dolls,692
Classic City Rollergirls / Classic City Rollergirls All-Stars,674
RuhrPott Roller Derby,714
Jacksonville Roller Derby / New Jax Rollers,704
Rebellion Roller Derby / A,700
Rainy City Roller Derby / B,701
Tampa Roller Dery / Bruise Crew,723
Vette City Roller Derby A,705
Vette City Roller Derby B,710
Susquehanna Valley Derby Vixens / The Vixens,686
Greater Vancouver Roller Derby,707
VALENCIA ROLLER DERBY / RAYO DOCKERS,710
BARCELONA ROLLER DERBY / INGLES DE ACERO,720
Steel City / Steel Hurtin',691
Fox Cities Roller Derby / A,691
Ventura County Derby Darlins / Battalion of Skates,682
Rocket City Roller Derby,701
Aalborg Roller Derby / Allstars,712
Hard Breaking Dolls / All-Stars,683
Cornfed Roller Derby A,699
Tiger Bay Brawlers / Brawlers,698
East Vic Roller Derby / Witches,715
Houston Roller Derby / All Stars,674
Ann Arbor Roller Derby / Ann Arbor A Team,722
Harrisburg Area Roller Derby / HARD,698
RollerDerby Toulouse / Nothing Toulouse,721
Calgary Roller Derby Association / All-Stars,716
Roller Derby Rennes / Les Déferlantes,701
Liverpool Roller Birds / A,696
Black Rose Rollers / Black Rose Allstars,725
Rock Town Roller Derby / Rock Town,696
Free State Roller Derby / Black-Eyed Suzie,710
DOWNRIVER ROLLER DOLLS / DOWNRIVER,703
WEST COAST DERBY KNOCKOUTS / TKO'S,714
Fox Cities Roller Derby / Fox Cities Allstars,710
Aroostook Roller Derby / BioHazards,707
Norrköping Rollerderby / A-Team,689
Namur Roller Derby / Namur Roller Derby: Les Parpaings,706
Orléans Roller Derby / Les Simones,647
SAM ROLLER DERBY / SAM A,642
AuverNiaks,680
Greater Vancouver Roller Derby / GVRD,693
SAM Roller Derby / A,693
Columbia Roller Derby / Quad Squad,709
