Team,Glicko-2 Rating,Rating Deviation,Rating Volatility,V,Delta
North Texas Roller Derby / Fighting Unicorns,1500,350,0.06,0,0
Ruhrpott Roller Derby / A,1500,350,0.06,0,0
Metropolitan Roller Derby Chile / Metropolitan All Stars,1500,350,0.06,0,0
Manchester Valkyries,1500,350,0.06,0,0
Boston Roller Derby  / Boston Roller Derby B Team ,1500,350,0.06,0,0
Philly Roller Derby / Philly Roller Derby B Team ,1500,350,0.06,0,0
Dock City Rollers / Dock City Rollers - Anchors,1500,350,0.06,0,0
Rat City Roller Derby / Rat City Roller Derby Rain of Terror,1500,350,0.06,0,0
Peninsula Roller Derby / Supernovas B,1500,350,0.06,0,0
Rose City Rollers /  Axles of Annihilation,1500,350,0.06,0,0
Arizona Roller Derby / Rising Star,1500,350,0.06,0,0
Away Team,1500,350,0.06,0,0
Happy Valley Derby Darlings / Molly Morbids,1500,350,0.06,0,0
Rat City Roller Derby  / Rat City Roller Derby All Stars,1500,350,0.06,0,0
Paris Roller Derby / All Star,1500,350,0.06,0,0
El Paso Roller Derby / TexPistols,1500,350,0.06,0,0
El Paso Roller Derby / Pistol WhipHers,1500,350,0.06,0,0
Tragic City Rollers,1500,350,0.06,0,0
SOCAL DERBY / THE CUTTLEFISH,1500,350,0.06,0,0
Birmingham Roller Derby / Birmingham Roller Derby B,1500,350,0.06,0,0
Roller Derby Rennes Les Deferlantes,1500,350,0.06,0,0
Oslo Roller Derby / A Team,1500,350,0.06,0,0
Queen City Roller Derby / Lake Effect Furies,1500,350,0.06,0,0
Gotham Roller Derby A / All Stars,1500,350,0.06,0,0
Madison Roller Derby / The Herd,1500,350,0.06,0,0
Windy City Rollers / All-Stars,1500,350,0.06,0,0
Sailor City Rollers / Sailor,1500,350,0.06,0,0
Atomic Bombs Roller Derby,1500,350,0.06,0,0
Dublin Roller Derby / A,1500,350,0.06,0,0
Stuttgart Valley Roller Derby / SVRD,1500,350,0.06,0,0
Birmingham Roller Derby / A team,1500,350,0.06,0,0
Roller Derby Dresden / Dresden Pioneers,1500,350,0.06,0,0
Lutece Destroyeuses Roller Derby Paris / Les Encastreuses,1500,350,0.06,0,0
London Roller Derby / Brawl Saints,1500,350,0.06,0,0
Dublin Roller Derby / The Be Grands,1500,350,0.06,0,0
Dom City Roller Derby / Dom City,1500,350,0.06,0,0
Dom City Roller Derby / Dom City Dolls,1500,350,0.06,0,0
Nor Cal Roller Girls,1500,350,0.06,0,0
V Town,1500,350,0.06,0,0
 Dirty Jersey RD / Dirty Jersey RD,1500,350,0.06,0,0
Quad City Roller Derby,1500,350,0.06,0,0
Orlando Roller Derby A,1500,350,0.06,0,0
GLASGOW ROLLER DERBY / IRN BRUISERS,1500,350,0.06,0,0
Angel City Derby / Rocket Queens,1500,350,0.06,0,0
Dublin Roller Derby / B,1500,350,0.06,0,0
Chattanooga B-Railers,1500,350,0.06,0,0
Sun State Roller Derby / Swarm,1500,350,0.06,0,0
Chattanooga All-Stars,1500,350,0.06,0,0
Chattanooga B-Rollers,1500,350,0.06,0,0
Roller Derby Clermont Ferrand / Auver'niaks,1500,350,0.06,0,0
Wiltshire Roller Derby,1500,350,0.06,0,0
Aalborg Roller Derby,1500,350,0.06,0,0
TACONES BANDIDOS / TACONES BANDIDOS ,1500,350,0.06,0,0
TACONES BANDIDOS,1500,350,0.06,0,0
River City Roller Derby / Riot,1500,350,0.06,0,0
Tampere Roller Derby / All-Stars,1500,350,0.06,0,0
Stockholm Roller Derby / All Stars,1500,350,0.06,0,0
Kingston Roller Derby / Team Ontario,1500,350,0.06,0,0
BOGOTÁ BONE BREAKERS,1500,350,0.06,0,0
Dutchland Rollers / All Stars,1500,350,0.06,0,0
Rat City Roller Derby / Rat City All Stars,1500,350,0.06,0,0
Hard Breaking Dolls Prague ,1500,350,0.06,0,0
Ithaca League of Women Rollers / Sufferjets,1500,350,0.06,0,0
Malmö Roller Derby / Crime City Rollers B,1500,350,0.06,0,0
Richland County Regulators Derby Team / Richland County Regulators,1500,350,0.06,0,0
Appalachian Roller Derby / Appalachian Roller Derby All Stars,1500,350,0.06,0,0
Greensboro Roller Derby,1500,350,0.06,0,0
TACONES BANDIDOS ,1500,350,0.06,0,0
Rockford Rage / Rockford Rage Women's Roller Derby,1500,350,0.06,0,0
Oxford Roller Derby  / Oxford Roller Derby Blackbirds,1500,350,0.06,0,0
Victorian Roller Derby League,1500,350,0.06,0,0
Canberra Roller Derby League,1500,350,0.06,0,0
Toronto Roller Derby / CN Power,1500,350,0.06,0,0
Denver Roller Derby / Layovers,1500,350,0.06,0,0
Calgary Roller Derby / Calgary Roller Derby All Stars,1500,350,0.06,0,0
Rotterdam Roller Derby,1500,350,0.06,0,0
Rotterdam Roller Derby / Death Row Honeys,1500,350,0.06,0,0
Hard Knox Roller Derby / Hard Knox All Stars,1500,350,0.06,0,0
Madison Roller Derby A,1500,350,0.06,0,0
METROPOLITAN ROLLER DERBY CHILE / Metropolitan All Stars,1500,350,0.06,0,0
Brewcity Bruisers / Allstars,1500,350,0.06,0,0
Philly Roller Derby / Philly Roller Derby B-Team,1500,350,0.06,0,0
Philly Roller Derby / Philly B,1500,350,0.06,0,0
Steel City Roller Derby / Steel Hurtin,1500,350,0.06,0,0
Black Rose Rollers,1500,350,0.06,0,0
Downriver Roller Derby,1500,350,0.06,0,0
Kansas City Roller Warriors / Kansas City Roller Warriors All Stars,1500,350,0.06,0,0
Blue Ridge Roller Derby / Y'allStars,1500,350,0.06,0,0
Schuylkill County Scream Queens,1500,350,0.06,0,0
Gold Coast Derby Grrls,1500,350,0.06,0,0
Brisbane City Rollers / Red Kennedys,1500,350,0.06,0,0
Susquehanna Valley Derby Vixens / Vixens,1500,350,0.06,0,0
Prairieland Punishers,1500,350,0.06,0,0
Windy City Rollers  / All-Stars,1500,350,0.06,0,0
Little City Roller Derby,1500,350,0.06,0,0
Royal City Roller Derby / The Bruteleggers,1500,350,0.06,0,0
Royal City Roller Derby,1500,350,0.06,0,0
Charlotte Roller Derby / Team Charlotte,1500,350,0.06,0,0
Western Australia Roller Derby / Wards Of The Skate,1500,350,0.06,0,0
WA Roller Derby / Wards Of The Skate,1500,350,0.06,0,0
Windy City Rollers  / Second Wind ,1500,350,0.06,0,0
Sacramento Roller Derby A / MaulStars,1500,350,0.06,0,0
San Fernando Valley Roller Derby / Like OMGs,1500,350,0.06,0,0
Bay State Brawlers Roller Derby / Bay State Brawlers,1500,350,0.06,0,0
Chattanooga Roller Derby / Chattanooga All-Stars,1500,350,0.06,0,0
Texas Rollergirls / Chainsaws,1500,350,0.06,0,0
Texas Rollergirls / Texecutioners,1500,350,0.06,0,0
Sacramento Roller Derby B / Bruin Trouble ,1500,350,0.06,0,0
Vette City Roller Derby / Vette City Venom,1500,350,0.06,0,0
Angel City Derby / Shore Shots,1500,350,0.06,0,0
Faultline Roller Derby / Derby Devilz,1500,350,0.06,0,0
Montreal Roller Derby / Les Sexpos,1500,350,0.06,0,0
Boston Roller Derby / Boston Roller Derby: B Team,1500,350,0.06,0,0
Sacramento Roller Derby  / MaulStars,1500,350,0.06,0,0
Adelaide Roller derby / Ads,1500,350,0.06,0,0
R.O.C.K Roller Derby,1500,350,0.06,0,0
Kansas City Roller Warriors,1500,350,0.06,0,0
DOMINION DERBY GIRLS / DOMINION DERBY GIRLS ALL STARS,1500,350,0.06,0,0
Dirty Jersey  / A Team,1500,350,0.06,0,0
Rocket City Roller Derby / Rocket City,1500,350,0.06,0,0
Blue Ridge Roller Derby,1500,350,0.06,0,0
Roughneck Roller Derby / Tulsa Elite,1500,350,0.06,0,0
Bux-Mont Roller Derby / Buxmont Roller Derby,1500,350,0.06,0,0
Madison Roller Derby,1500,350,0.06,0,0
Confluence Crush Roller Derby / Confluence Crush Charter,1500,350,0.06,0,0
North Star Roller Derby,1500,350,0.06,0,0
El Paso Roller Derby / Tex Pistols,1500,350,0.06,0,0
Orlando Roller Derby / Ozone Slayers ,1500,350,0.06,0,0
Connecticut Roller Derby / Connecticut All Stars,1500,350,0.06,0,0
Windy City Rollers / Third Coast,1500,350,0.06,0,0
Black-N-Bluegrass Roller Derby / Blackouts,1500,350,0.06,0,0
Charlotte Roller Derby A,1500,350,0.06,0,0
Atlanta / All Stars,1500,350,0.06,0,0
Madison Roller Derby / Madison Roller Derby: The Herd,1500,350,0.06,0,0
Dutchland Roller Derby / All-Stars,1500,350,0.06,0,0
Roller Derby of Central Kentucky,1500,350,0.06,0,0
Natural State Roller Derby,1500,350,0.06,0,0
Dirty Jersey Roller Derby / Dirty Jersey All-Stars,1500,350,0.06,0,0
Toronto Roller Derby / Toronto Roller Derby All Stars,1500,350,0.06,0,0
Bay State Roller Derby / Bay State All-Stars,1500,350,0.06,0,0
Confluence Crush Roller Derby,1500,350,0.06,0,0
Akron Roller Derby,1500,350,0.06,0,0
Burning River Roller Derby / HazMat Crew,1500,350,0.06,0,0
Yellow Rose Roller Derby,1500,350,0.06,0,0
Savannah Derby Devils,1500,350,0.06,0,0
Elevated Roller Derby / Elevated Roller Derby All Stars,1500,350,0.06,0,0
Leeds Roller Derby / A Team,1500,350,0.06,0,0
New Hampshire Roller Derby / All-Stars,1500,350,0.06,0,0
Diamond State Roller Derby,1500,350,0.06,0,0
Akron Roller Derby / Akron All-Stars,1500,350,0.06,0,0
Cincinnati Rollergirls / Black Sheep,1500,350,0.06,0,0
Treasure Valley Roller Derby / All Star,1500,350,0.06,0,0
EERIE ROLLER DERBY,1500,350,0.06,0,0
Cornfed Roller Derby / Cornfed Roller Derby All-Stars,1500,350,0.06,0,0
Jacksonville Roller Derby / New Jax City Rollers,1500,350,0.06,0,0
MUSCOGEE ROLLER GIRLS,1500,350,0.06,0,0
Free State Roller Derby / Black-Eyed Suzies,1500,350,0.06,0,0
Detroit Roller Derby / Allstars B,1500,350,0.06,0,0
Bay Area Roller Derby,1500,350,0.06,0,0
London Rockin' Rollers Allstars / London Rockin' Rollers,1500,350,0.06,0,0
London Rockin' Rollers,1500,350,0.06,0,0
Minnesota Roller Derby / Minnesota Roller Derby: MNRD B,1500,350,0.06,0,0
Soul City Sirens,1500,350,0.06,0,0
Oslo Roller Derby,1500,350,0.06,0,0
Atlanta Roller Derby / Atlanta Rumble Bees,1500,350,0.06,0,0
WILKES BARRE SCRANTON ROLLER DERBY A,1500,350,0.06,0,0
Roller Derby Madrid,1500,350,0.06,0,0
Detroit Roller Derby / Detroit Roller Derby Allstars A,1500,350,0.06,0,0
Fox Cities Roller Derby,1500,350,0.06,0,0
Akron Roller Derby / A,1500,350,0.06,0,0
Springfield Roller Derby,1500,350,0.06,0,0
NO COAST ROLLER DERBY / MAD MAXINES,1500,350,0.06,0,0
Houston United Roller Derby,1500,350,0.06,0,0
The Anguanas- Vicenza Roller Derby,1500,350,0.06,0,0
Burning River Roller Derby / Hazmat Crew,1500,350,0.06,0,0
Burning River Roller Derby / Burning River All-Stars,1500,350,0.06,0,0
Ottawa Valley Roller Derby,1500,350,0.06,0,0
Toronto Roller Derby / CN POWER,1500,350,0.06,0,0
Bradentucky / Bombers,1500,350,0.06,0,0
Ann Arbor Roller Derby / Ann Arbor A,1500,350,0.06,0,0
Pikes Peak Roller Derby / Pikes Peak All Stars,1500,350,0.06,0,0
High Altitude RD / Dark Sky Starlets,1500,350,0.06,0,0
Connecticut Roller Derby A,1500,350,0.06,0,0
Harrisburg Area Roller Derby  / Fallouts,1500,350,0.06,0,0
Adelaide Roller Derby / Rads,1500,350,0.06,0,0
Ohio Roller Derby / Ohio All-Stars,1500,350,0.06,0,0
Salt City Roller Derby / Salt City,1500,350,0.06,0,0
Tallahassee Roller Derby,1500,350,0.06,0,0
Tri-City Roller Derby,1500,350,0.06,0,0
Charlotte Roller Derby / Team Charlotte (A Team NA South),1500,350,0.06,0,0
Vette City Roller Derby / Vette City Vixens,1500,350,0.06,0,0
Wilkes Barre/Scranton RD / Roller Radicals,1500,350,0.06,0,0
River City Roller Derby / River City Riot!,1500,350,0.06,0,0
Windy City Roller / All-Stars,1500,350,0.06,0,0
Helsinki Roller Derby / Helsinki Bees,1500,350,0.06,0,0
Panhandle United / Panhandle United Allstars,1500,350,0.06,0,0
Windy City Roller / Second Wind,1500,350,0.06,0,0
The Herd / Madison Roller Derby,1500,350,0.06,0,0
Minnesota Roller Derby / B Team,1500,350,0.06,0,0
Burning River Roller Derby / Haz Mat Crew,1500,350,0.06,0,0
Zurich City Roller Derby / AllstarZ,1500,350,0.06,0,0
Alamo City Roller Girls / Las Tejanas,1500,350,0.06,0,0
KALLIO ROLLING RAINBOW,1500,350,0.06,0,0
Texas Rollergirls,1500,350,0.06,0,0
Rebellion Roller Derby,1500,350,0.06,0,0
Philly Roller Derby  / Philly Roller Derby B Team,1500,350,0.06,0,0
Rockcity Rollers,1500,350,0.06,0,0
Gem City Roller Derby / Gem City Roller Derby Purple Reign,1500,350,0.06,0,0
Connecticut Roller Derby / Connecticut  All-Stars,1500,350,0.06,0,0
Fox Cities Roller Derby / FCRD-All Stars,1500,350,0.06,0,0
Inland Empire Derby Divas,1500,350,0.06,0,0
Vette City Roller Derby / Vixens,1500,350,0.06,0,0
Detroit Roller Derby  / Detroit Allstars A,1500,350,0.06,0,0
Detroit Roller Derby  / Detroit Allstars B,1500,350,0.06,0,0
Gothenburg Roller Derby		,1500,350,0.06,0,0
Paris Roller Derby  / All Stars,1500,350,0.06,0,0
RoughNeck Roller Derby / Elite,1500,350,0.06,0,0
Elevated RD / All Stars,1500,350,0.06,0,0
Southern Delaware Roller Derby / All Stars,1500,350,0.06,0,0
Roe City Rollers  / Roe City Rollers All-stars,1500,350,0.06,0,0
NOVA Roller Derby / Super NOVAS,1500,350,0.06,0,0
CAPITAL CITY CRUSHERS,1500,350,0.06,0,0
Brewcity Bruisers Milwaukee Roller Derby / Brewcity Bruisers All Stars,1500,350,0.06,0,0
Bay Area Derby / Bay Area Derby - All Stars,1500,350,0.06,0,0
Atlanta Roller Derby / Rumble Bs,1500,350,0.06,0,0
Norfolk Roller Derby / The Norfolk Brawds A,1500,350,0.06,0,0
Tiger Bay Brawlers,1500,350,0.06,0,0
Copenhagen Roller Derby / Copenhagen Team A,1500,350,0.06,0,0
Detroit Roller Derby / DRD Allstars,1500,350,0.06,0,0
Detroit Roller Derby / Detroit B,1500,350,0.06,0,0
Rainy City Roller Derby / Rainy City All Stars,1500,350,0.06,0,0
Lehigh Valley Roller Derby / Lehigh Valley Roller Derby All Stars,1500,350,0.06,0,0
Roller Derby Quebec / Les Duchesses,1500,350,0.06,0,0
Copenhagen Roller Derby  / Copenhagen Team A,1500,350,0.06,0,0
Auver'Niaks Roller Derby  / Les Auver'Niaks,1500,350,0.06,0,0
Windy City Roller Derby / Windy City Third Coast,1500,350,0.06,0,0
Windy City Roller Derby / Windy City All Stars,1500,350,0.06,0,0
Vicenza Roller Derby / The Anguanas,1500,350,0.06,0,0
Downriver Roller Dolls / Downriver Roller Dolls (Doll Stars),1500,350,0.06,0,0
Manchester Roller Derby / Valkiries,1500,350,0.06,0,0
Cornfed Roller Derby / Cornfed All- Stars,1500,350,0.06,0,0
Vicenza Roller Derby  / The Anguanas,1500,350,0.06,0,0
BrewCity Bruisers / BrewCity Bruisers All-Stars,1500,350,0.06,0,0
Hard Breaking Dolls,1500,350,0.06,0,0
Classic City Rollergirls / Classic City Rollergirls All-Stars,1500,350,0.06,0,0
RuhrPott Roller Derby,1500,350,0.06,0,0
Jacksonville Roller Derby / New Jax Rollers,1500,350,0.06,0,0
Rebellion Roller Derby / A,1500,350,0.06,0,0
Rainy City Roller Derby / B,1500,350,0.06,0,0
Tampa Roller Dery / Bruise Crew,1500,350,0.06,0,0
Vette City Roller Derby A,1500,350,0.06,0,0
Vette City Roller Derby B,1500,350,0.06,0,0
Susquehanna Valley Derby Vixens / The Vixens,1500,350,0.06,0,0
Greater Vancouver Roller Derby,1500,350,0.06,0,0
VALENCIA ROLLER DERBY / RAYO DOCKERS,1500,350,0.06,0,0
BARCELONA ROLLER DERBY / INGLES DE ACERO,1500,350,0.06,0,0
Steel City / Steel Hurtin',1500,350,0.06,0,0
Fox Cities Roller Derby / A,1500,350,0.06,0,0
Ventura County Derby Darlins / Battalion of Skates,1500,350,0.06,0,0
Rocket City Roller Derby,1500,350,0.06,0,0
Aalborg Roller Derby / Allstars,1500,350,0.06,0,0
Hard Breaking Dolls / All-Stars,1500,350,0.06,0,0
Cornfed Roller Derby A,1500,350,0.06,0,0
Tiger Bay Brawlers / Brawlers,1500,350,0.06,0,0
East Vic Roller Derby / Witches,1500,350,0.06,0,0
Houston Roller Derby / All Stars,1500,350,0.06,0,0
Ann Arbor Roller Derby / Ann Arbor A Team,1500,350,0.06,0,0
Harrisburg Area Roller Derby / HARD,1500,350,0.06,0,0
RollerDerby Toulouse / Nothing Toulouse,1500,350,0.06,0,0
Calgary Roller Derby Association / All-Stars,1500,350,0.06,0,0
Roller Derby Rennes / Les Déferlantes,1500,350,0.06,0,0
Liverpool Roller Birds / A,1500,350,0.06,0,0
Black Rose Rollers / Black Rose Allstars,1500,350,0.06,0,0
Rock Town Roller Derby / Rock Town,1500,350,0.06,0,0
Free State Roller Derby / Black-Eyed Suzie,1500,350,0.06,0,0
DOWNRIVER ROLLER DOLLS / DOWNRIVER,1500,350,0.06,0,0
WEST COAST DERBY KNOCKOUTS / TKO'S,1500,350,0.06,0,0
Fox Cities Roller Derby / Fox Cities Allstars,1500,350,0.06,0,0
Aroostook Roller Derby / BioHazards,1500,350,0.06,0,0
Norrköping Rollerderby / A-Team,1500,350,0.06,0,0
Namur Roller Derby / Namur Roller Derby: Les Parpaings,1500,350,0.06,0,0
Orléans Roller Derby / Les Simones,1500,350,0.06,0,0
SAM ROLLER DERBY / SAM A,1500,350,0.06,0,0
AuverNiaks,1500,350,0.06,0,0
Greater Vancouver Roller Derby / GVRD,1500,350,0.06,0,0
SAM Roller Derby / A,1500,350,0.06,0,0
Columbia Roller Derby / Quad Squad,1500,350,0.06,0,0
