Team,Glicko-2 Rating,Rating Deviation,Rating Volatility,V,Delta
Kallio Rolling Rainbow / All Colours,1500,350,0.06,0,0
Helsinki Roller Derby / All-Stars,1500,350,0.06,0,0
Gallatin Roller Derby / Team Montana,1500,350,0.06,0,0
Buxmont Roller Derby / Sirens,1500,350,0.06,0,0
Treasure Valley Roller Derby / All Stars,1500,350,0.06,0,0
Tragic City Rollers / Tragic City All-Stars,1500,350,0.06,0,0
Sierra Regional Roller Derby / Sierra Regional All Stars,1500,350,0.06,0,0
Rose City Rollers / Axles of Annihilation,1500,350,0.06,0,0
Rage City Roller Derby / Rage City All*Stars,1500,350,0.06,0,0
Oxford Roller Derby ,1500,350,0.06,0,0
Nashville Roller Derby,1500,350,0.06,0,0
Montreal Roller Derby / The Sexpos,1500,350,0.06,0,0
Lowcountry Highrollers / All Stars,1500,350,0.06,0,0
High Altitude Roller Derby / Dark Sky Starlets,1500,350,0.06,0,0
Helsinki Roller Derby / Bees,1500,350,0.06,0,0
Greater Vancouver Roller Derby Association,1500,350,0.06,0,0
Gem City Roller Derby / Purple Reign,1500,350,0.06,0,0
Dirty Jersey Roller Derby / All Stars,1500,350,0.06,0,0
Charlotte Roller Derby / Bad Assets,1500,350,0.06,0,0
Charlotte Roller Derby / Mecklenburg Maulers,1500,350,0.06,0,0
Carolina Roller Derby,1500,350,0.06,0,0
BOGOTÁ BONE BREAKERS / BOGOTÁ BONE BREAKERS ,1500,350,0.06,0,0
As Brigantias Roller Derby A Coruña ,1500,350,0.06,0,0
ROCK AND ROLLER QUEENS ,1500,350,0.06,0,0
Gotham Roller Derby / All-Stars,1500,350,0.06,0,0
Brisbane City Rollers,1500,350,0.06,0,0
Sun State Roller Derby,1500,350,0.06,0,0
Rose City Rollers,1500,350,0.06,0,0
Peninsula Roller Derby (League) / Slam Andreas,1500,350,0.06,0,0
Hammer City Roller Derby / Eh! Team,1500,350,0.06,0,0
Detroit Roller Derby / Allstars A,1500,350,0.06,0,0
Baja Roller Derby,1500,350,0.06,0,0
Tucson Roller Derby / Javelina Havoc,1500,350,0.06,0,0
Tri-City Roller Derby / Thunder,1500,350,0.06,0,0
Tampa Roller Derby / Tantrums,1500,350,0.06,0,0
Rose City Rollers / Rose City Rollers: Axles of Annihilation,1500,350,0.06,0,0
Peninsula Roller Derby (League) / Supernovas B,1500,350,0.06,0,0
Peninsula Roller Derby (League) / Supernovas A,1500,350,0.06,0,0
Norfolk Roller Derby / Norfolk Brawds,1500,350,0.06,0,0
Newcastle Roller Derby / Canny Belters,1500,350,0.06,0,0
Liverpool Roller Birds / Sisters of Mersey,1500,350,0.06,0,0
Greenville Roller Derby,1500,350,0.06,0,0
Chicago-Style Roller Derby A,1500,350,0.06,0,0
Barcelona Roller Derby / Ingles de Acero,1500,350,0.06,0,0
Ann Arbor Roller Derby / Ann Arbor Roller Derby ,1500,350,0.06,0,0
Rose City / Rose City Rollers: Axles of Annihilation,1500,350,0.06,0,0
Bay Area Derby / Bay Area All Stars,1500,350,0.06,0,0
TACONES BANDIDOS ROLLER DERBY / Tacones Bandidos All Stars,1500,350,0.06,0,0
North Star Roller Derby / Supernovas,1500,350,0.06,0,0
Minnesota Roller Derby / Minnesota Nice,1500,350,0.06,0,0
Ithaca League of Women Rollers / SufferJets,1500,350,0.06,0,0
Brisbane City Rollers / Punk Blockers,1500,350,0.06,0,0
Stockholm Roller Derby / Stockholm Roller Derby Allstars,1500,350,0.06,0,0
Salt City Roller Derby,1500,350,0.06,0,0
Rockford Rage Women's Roller Derby,1500,350,0.06,0,0
Minnesota Roller Derby,1500,350,0.06,0,0
Flint Roller Derby,1500,350,0.06,0,0
Dallas Derby Devils / Army of Darkness,1500,350,0.06,0,0
Black Rose Rollers / All-Stars,1500,350,0.06,0,0
Twister City Roller Derby / Victory All Star Squad,1500,350,0.06,0,0
Columbia Roller Derby / QuadSquad,1500,350,0.06,0,0
Victorian Roller Derby League / Thunder Bees,1500,350,0.06,0,0
State College Area Roller Derby  / SCAR Derby ,1500,350,0.06,0,0
South Shore Roller Derby / Runaways,1500,350,0.06,0,0
Rocky Mountain Roller Derby / 5280 Fight Club,1500,350,0.06,0,0
Peninsula Roller Derby  / Supernovas A,1500,350,0.06,0,0
Ohio Valley Roller Derby,1500,350,0.06,0,0
Mass Attack Roller Derby / All Stars,1500,350,0.06,0,0
Hard Knox Roller Derby A,1500,350,0.06,0,0
Grand Raggidy Roller Derby / All Stars,1500,350,0.06,0,0
Grand Raggidy Roller Derby / Grand Raggidy All Stars,1500,350,0.06,0,0
Fort Myers Roller Derby,1500,350,0.06,0,0
East Vic Roller Derby,1500,350,0.06,0,0
East Vic Roller Derby / Witches Of East Vic,1500,350,0.06,0,0
Bay Area Derby  / Bay Area Derby All Stars ,1500,350,0.06,0,0
Arch Rival Roller Derby / All Stars,1500,350,0.06,0,0
Ventura County Derby Darlins / Vendolls,1500,350,0.06,0,0
Twin State Roller Derby / Upper Valley Vixons,1500,350,0.06,0,0
Sacramento Roller Derby B  / Bruin Trouble,1500,350,0.06,0,0
Red Stick / Capital Defenders ,1500,350,0.06,0,0
Red Stick Roller Derby / Red Stick Roller Derby All Stars,1500,350,0.06,0,0
Peninsula Roller Derby  / Supernovas B ,1500,350,0.06,0,0
Gem City Roller Derby / Violet Femmes,1500,350,0.06,0,0
Central Coast Roller Derby / SK805,1500,350,0.06,0,0
Boston Roller Derby / Boston Roller Derby: A Team,1500,350,0.06,0,0
Black-n-Bluegrass Roller Girls,1500,350,0.06,0,0
Bay Area Derby / Bay Area Derby All Stars ,1500,350,0.06,0,0
Arch Rival Roller Derby / Arch Nemesis,1500,350,0.06,0,0
Angel City Derby  / Angel City Derby - RAD TEAM ,1500,350,0.06,0,0
Angel City Derby / Angel City Derby - RAD TEAM,1500,350,0.06,0,0
Victorian Roller Derby League / Thunder,1500,350,0.06,0,0
Glasgow Roller Derby / Irn Bruisers,1500,350,0.06,0,0
Capital City Crushers,1500,350,0.06,0,0
Tampa Roller Derby / Tampa Tantrums,1500,350,0.06,0,0
South Bend Roller Derby / Studebreakers,1500,350,0.06,0,0
Philly Roller Derby,1500,350,0.06,0,0
Renegade Derby Dames / Striking Vikings,1500,350,0.06,0,0
FREDERICKSBURG ROLLER DERBY / FREDERICKSBURG ROLLER DERBY ALL STARS,1500,350,0.06,0,0
Erie Roller Derby,1500,350,0.06,0,0
Connecticut Roller Derby / All Stars,1500,350,0.06,0,0
Chattanooga Roller Derby / B-Railers,1500,350,0.06,0,0
Chattanooga Roller Derby / Chattanooga All Stars,1500,350,0.06,0,0
Ann Arbor Roller Derby,1500,350,0.06,0,0
Alamo Ctiy Roller Girls / Las Tejanas,1500,350,0.06,0,0
Minnesota Roller Derby / MNRD B,1500,350,0.06,0,0
Mid-State Roller Derby / All Stars,1500,350,0.06,0,0
Madison Roller Derby / The Herd (SATURDAY),1500,350,0.06,0,0
Los Alamos Derby Dames,1500,350,0.06,0,0
Gotham Roller Derby / Gotham B Team,1500,350,0.06,0,0
Gotham Roller Derby / Gotham All Stars,1500,350,0.06,0,0
Boston Roller Derby / Boston Roller Derby A Team,1500,350,0.06,0,0
Boston Roller Derby / Boston Roller Derby B Team,1500,350,0.06,0,0
Madison Roller Derby / The Herd (FRIDAY),1500,350,0.06,0,0
Black Rose Rollers / All Stars,1500,350,0.06,0,0
Twister City Roller Derby / Victory All-Star Squad,1500,350,0.06,0,0
Traverse City Roller Derby,1500,350,0.06,0,0
Roc City Roller Derby / Roc Stars,1500,350,0.06,0,0
Lowcountry Highrollers,1500,350,0.06,0,0
Jacksonville / New Jax City Rollers,1500,350,0.06,0,0
Gotham Roller Derby / Gotham Roller Derby All-Stars,1500,350,0.06,0,0
Garden State Roller Derby / Ironbound Maidens,1500,350,0.06,0,0
Fargo Moorhead Derby Girls,1500,350,0.06,0,0
Enchanted Mountain Roller Derby / Hellbilly Heartbreakers,1500,350,0.06,0,0
Assassination City Roller Derby / Conspiracy,1500,350,0.06,0,0
Springfield Roller Derby / All Stars,1500,350,0.06,0,0
Red Stick Roller Derby / Capital Defenders,1500,350,0.06,0,0
Ottawa Valley Roller Derby / Rapids,1500,350,0.06,0,0
Lehigh Valley Roller Derby / Lehigh Valley All-Stars,1500,350,0.06,0,0
Druid City Derby,1500,350,0.06,0,0
Dallas Derby Devils / Battalion of Doom,1500,350,0.06,0,0
Circle City Roller Derby / Socialites,1500,350,0.06,0,0
Norrköping Roller Derby,1500,350,0.06,0,0
Bristol Roller Derby / Bristol Roller Derby Charter Team,1500,350,0.06,0,0
Arizona Roller Derby / Rising,1500,350,0.06,0,0
Angel City Derby / Rad Team,1500,350,0.06,0,0
Rock Town Roller Derby / Queen Team,1500,350,0.06,0,0
Peterborough Area Roller Derby,1500,350,0.06,0,0
No Coast Roller Derby / Mad Maxines,1500,350,0.06,0,0
Muscogee Roller Girls,1500,350,0.06,0,0
Burning River Roller Derby / All-Stars,1500,350,0.06,0,0
Boston Roller Derby / Boston Roller Derby: C Team,1500,350,0.06,0,0
Arizona Roller Derby / All Stars,1500,350,0.06,0,0
Tiger Bay Brawlers / All-Stars,1500,350,0.06,0,0
Memphis Roller Derby,1500,350,0.06,0,0
Bay State Brawlers / Brawlers,1500,350,0.06,0,0
Harrisburg Area Roller Derby,1500,350,0.06,0,0
Rock Town Roller Derby / Rocktown,1500,350,0.06,0,0
Natural State Roller Derby / Natural State,1500,350,0.06,0,0
Jet City Roller Derby,1500,350,0.06,0,0
Denver Roller Derby / Bruising Altitude,1500,350,0.06,0,0
SUSQUEHANNA VALLEY DERBY VIXENS,1500,350,0.06,0,0
Naptown Roller Derby,1500,350,0.06,0,0
Happy Valley Derby Darlins / Molly Morbids,1500,350,0.06,0,0
Denver roller Derby / Mile High Club,1500,350,0.06,0,0
Wine Town Rollers / Whine Makers,1500,350,0.06,0,0
Santa Cruz Roller Derby / Harbor Hellcats,1500,350,0.06,0,0
Rainy City Roller Derby / Reckoning,1500,350,0.06,0,0
PEACH STATE ROLLER DERBY,1500,350,0.06,0,0
Northern Arizona Roller Derby / Whiskey Row-llers,1500,350,0.06,0,0
Gallatin Roller Derby / Mountain Mayhem,1500,350,0.06,0,0
Brighton Rockers Roller Derby,1500,350,0.06,0,0
Windy City Rollers / Windy City Rollers: Second Wind,1500,350,0.06,0,0
Windy City Rollers / Windy City Rollers: All-Stars,1500,350,0.06,0,0
West Florida Roller Derby,1500,350,0.06,0,0
Vienna Roller Derby / Vienna A,1500,350,0.06,0,0
Santa Cruz Roller Derby / Santa Cruz Harbor Hellcats,1500,350,0.06,0,0
Sacramento Roller Derby / MaulStars,1500,350,0.06,0,0
Ottawa Valley Roller Derby / Ottawa Valley Rapids,1500,350,0.06,0,0
Ohio Roller Derby,1500,350,0.06,0,0
Northern Arizona Roller Derby / Wild West Outlaws,1500,350,0.06,0,0
Los Alamos Derby Dames League / Los Alamos Derby Dames,1500,350,0.06,0,0
Lomme Roller Girls / Bad Bunnies,1500,350,0.06,0,0
Gallatin Roller Derby / Team Montana Roller Derby,1500,350,0.06,0,0
Elevated Roller Derby / All Stars,1500,350,0.06,0,0
Chicago-Style Roller Derby / A,1500,350,0.06,0,0
BOULDER COUNTY ROLLER DERBY / FLATIRON PHOENIXES,1500,350,0.06,0,0
Palouse River Rollers,1500,350,0.06,0,0
Les Quads de Paris / La Boucherie de Paris,1500,350,0.06,0,0
Steel City Roller Derby / Steel Beamers,1500,350,0.06,0,0
Steel City Roller Derby / Steel Hurtin',1500,350,0.06,0,0
Roller Derby Quebec,1500,350,0.06,0,0
Orlando Roller Derby / Ozone Slayers,1500,350,0.06,0,0
Calgary Roller Derby / CRD All Stars,1500,350,0.06,0,0
Brewcity Bruisers / AllStars,1500,350,0.06,0,0
Bellingham Roller Betties / All Stars,1500,350,0.06,0,0
Arizona Roller Derby / Arizona Rising ,1500,350,0.06,0,0
Sun State Roller Derby / Killer Bees,1500,350,0.06,0,0
Penn Jersey Roller Derby A,1500,350,0.06,0,0
Helsinki Roller Derby / All Stars,1500,350,0.06,0,0
Dock City Rollers / Dock City Anchors,1500,350,0.06,0,0
Dirty Jersey Roller Derby / All-Stars,1500,350,0.06,0,0
Adelaide Roller Derby / Ads,1500,350,0.06,0,0
Susquehanna Valley Derby Vixens,1500,350,0.06,0,0
South Sea Roller Derby / Sirens,1500,350,0.06,0,0
Perth Roller Derby / West Coast Evils,1500,350,0.06,0,0
Nantes Roller Derby / Les Duchesses,1500,350,0.06,0,0
Madison Roller Derby / Dairyland Dolls,1500,350,0.06,0,0
Kingston Roller Derby / Rogue Warriors,1500,350,0.06,0,0
Hartford Area Roller Derby / Hartford Wailers,1500,350,0.06,0,0
Detroit Roller Derby / Detroit Roller Derby- A,1500,350,0.06,0,0
Detroit Roller Derby / Detroit Roller Derby- B,1500,350,0.06,0,0
Chattanooga Roller Derby / Chattanooga B-Railers,1500,350,0.06,0,0
Schuylkill County Scream Queens / Scream Queens,1500,350,0.06,0,0
Montreal Roller Derby / Sexpos,1500,350,0.06,0,0
Demolition City Roller Derby / Destroyers,1500,350,0.06,0,0
Dallas Derby Devils / DDD: Army of Darkness,1500,350,0.06,0,0
Stockholm Roller Derby / Allstars,1500,350,0.06,0,0
Free State Roller Derby / Rock Villians,1500,350,0.06,0,0
Fargo Moorhead Derby Girls / A Team,1500,350,0.06,0,0
Bay State Brawlers Roller Derby / Brawlers,1500,350,0.06,0,0
Tampa Roller Derby / Bruise Crew,1500,350,0.06,0,0
